dataset,feature_name,source_file,raw_column,entity_type,role,group,encoded_column_index,feature_subset_status
kuairec_v2,item_categories::feat=1,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,11,search_candidate
kuairec_v2,item_categories::feat=2,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,12,search_candidate
kuairec_v2,item_categories::feat=3,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,13,search_candidate
kuairec_v2,item_categories::feat=4,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,14,search_candidate
kuairec_v2,item_categories::feat=5,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,15,search_candidate
kuairec_v2,item_categories::feat=6,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,16,search_candidate
kuairec_v2,item_categories::feat=7,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,17,search_candidate
kuairec_v2,item_categories::feat=8,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,18,search_candidate
kuairec_v2,item_categories::feat=9,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,19,search_candidate
kuairec_v2,item_categories::feat=10,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,20,search_candidate
kuairec_v2,item_categories::feat=11,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,21,search_candidate
kuairec_v2,item_categories::feat=12,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,22,search_candidate
kuairec_v2,item_categories::feat=13,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,23,search_candidate
kuairec_v2,item_categories::feat=14,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,24,search_candidate
kuairec_v2,item_categories::feat=15,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,25,search_candidate
kuairec_v2,item_categories::feat=16,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,26,search_candidate
kuairec_v2,item_categories::feat=17,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,27,search_candidate
kuairec_v2,item_categories::feat=18,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,28,search_candidate
kuairec_v2,item_categories::feat=19,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,29,search_candidate
kuairec_v2,item_categories::feat=20,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,30,search_candidate
kuairec_v2,item_categories::feat=21,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,31,search_candidate
kuairec_v2,item_categories::feat=22,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,32,search_candidate
kuairec_v2,item_categories::feat=23,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,33,search_candidate
kuairec_v2,item_categories::feat=24,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,34,search_candidate
kuairec_v2,item_categories::feat=25,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,35,search_candidate
kuairec_v2,item_categories::feat=26,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,36,search_candidate
kuairec_v2,item_categories::feat=27,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,37,search_candidate
kuairec_v2,item_categories::feat=28,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,38,search_candidate
kuairec_v2,item_categories::feat=29,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,39,search_candidate
kuairec_v2,item_categories::feat=30,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,40,search_candidate
kuairec_v2,kuairec_caption_category::first_level_category_id,data/kuairec_caption_category.csv,first_level_category_id,item,safe_pre_treatment,item_category,41,search_candidate
kuairec_v2,kuairec_caption_category::second_level_category_id,data/kuairec_caption_category.csv,second_level_category_id,item,safe_pre_treatment,item_category,42,search_candidate
kuairec_v2,kuairec_caption_category::third_level_category_id,data/kuairec_caption_category.csv,third_level_category_id,item,safe_pre_treatment,item_category,43,search_candidate
kuairand1k,video_features_basic_1k::author_id,data/video_features_basic_1k.csv,author_id,item,safe_pre_treatment,item_author_music,0,search_candidate
kuairand1k,video_features_basic_1k::video_type,data/video_features_basic_1k.csv,video_type,item,safe_pre_treatment,item_video_metadata,1,search_candidate
kuairand1k,video_features_basic_1k::upload_dt,data/video_features_basic_1k.csv,upload_dt,item,safe_pre_treatment,item_upload_time,2,search_candidate
kuairand1k,video_features_basic_1k::upload_type,data/video_features_basic_1k.csv,upload_type,item,safe_pre_treatment,item_video_metadata,3,search_candidate
kuairand1k,video_features_basic_1k::visible_status,data/video_features_basic_1k.csv,visible_status,item,safe_pre_treatment,item_video_metadata,4,search_candidate
kuairand1k,video_features_basic_1k::video_duration,data/video_features_basic_1k.csv,video_duration,item,safe_pre_treatment,item_video_metadata,5,search_candidate
kuairand1k,video_features_basic_1k::server_width,data/video_features_basic_1k.csv,server_width,item,safe_pre_treatment,item_resolution,6,search_candidate
kuairand1k,video_features_basic_1k::server_height,data/video_features_basic_1k.csv,server_height,item,safe_pre_treatment,item_resolution,7,search_candidate
kuairand1k,video_features_basic_1k::music_id,data/video_features_basic_1k.csv,music_id,item,safe_pre_treatment,item_author_music,8,search_candidate
kuairand1k,video_features_basic_1k::music_type,data/video_features_basic_1k.csv,music_type,item,safe_pre_treatment,item_author_music,9,search_candidate
kuairand1k,video_features_basic_1k::tag=1,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,10,search_candidate
kuairand1k,video_features_basic_1k::tag=10,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,11,search_candidate
kuairand1k,video_features_basic_1k::tag=11,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,12,search_candidate
kuairand1k,video_features_basic_1k::tag=12,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,13,search_candidate
kuairand1k,video_features_basic_1k::tag=13,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,14,search_candidate
kuairand1k,video_features_basic_1k::tag=14,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,15,search_candidate
kuairand1k,video_features_basic_1k::tag=15,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,16,search_candidate
kuairand1k,video_features_basic_1k::tag=16,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,17,search_candidate
kuairand1k,video_features_basic_1k::tag=17,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,18,search_candidate
kuairand1k,video_features_basic_1k::tag=18,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,19,search_candidate
kuairand1k,video_features_basic_1k::tag=19,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,20,search_candidate
kuairand1k,video_features_basic_1k::tag=2,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,21,search_candidate
kuairand1k,video_features_basic_1k::tag=20,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,22,search_candidate
kuairand1k,video_features_basic_1k::tag=21,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,23,search_candidate
kuairand1k,video_features_basic_1k::tag=22,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,24,search_candidate
kuairand1k,video_features_basic_1k::tag=23,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,25,search_candidate
kuairand1k,video_features_basic_1k::tag=24,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,26,search_candidate
kuairand1k,video_features_basic_1k::tag=25,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,27,search_candidate
kuairand1k,video_features_basic_1k::tag=26,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,28,search_candidate
kuairand1k,video_features_basic_1k::tag=27,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,29,search_candidate
kuairand1k,video_features_basic_1k::tag=28,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,30,search_candidate
kuairand1k,video_features_basic_1k::tag=29,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,31,search_candidate
kuairand1k,video_features_basic_1k::tag=3,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,32,search_candidate
kuairand1k,video_features_basic_1k::tag=30,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,33,search_candidate
kuairand1k,video_features_basic_1k::tag=34,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,34,search_candidate
kuairand1k,video_features_basic_1k::tag=35,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,35,search_candidate
kuairand1k,video_features_basic_1k::tag=36,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,36,search_candidate
kuairand1k,video_features_basic_1k::tag=37,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,37,search_candidate
kuairand1k,video_features_basic_1k::tag=38,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,38,search_candidate
kuairand1k,video_features_basic_1k::tag=39,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,39,search_candidate
kuairand1k,video_features_basic_1k::tag=4,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,40,search_candidate
kuairand1k,video_features_basic_1k::tag=40,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,41,search_candidate
kuairand1k,video_features_basic_1k::tag=41,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,42,search_candidate
kuairand1k,video_features_basic_1k::tag=42,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,43,search_candidate
kuairand1k,video_features_basic_1k::tag=43,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,44,search_candidate
kuairand1k,video_features_basic_1k::tag=44,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,45,search_candidate
kuairand1k,video_features_basic_1k::tag=45,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,46,search_candidate
kuairand1k,video_features_basic_1k::tag=46,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,47,search_candidate
kuairand1k,video_features_basic_1k::tag=47,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,48,search_candidate
kuairand1k,video_features_basic_1k::tag=48,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,49,search_candidate
kuairand1k,video_features_basic_1k::tag=49,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,50,search_candidate
kuairand1k,video_features_basic_1k::tag=5,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,51,search_candidate
kuairand1k,video_features_basic_1k::tag=50,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,52,search_candidate
kuairand1k,video_features_basic_1k::tag=51,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,53,search_candidate
kuairand1k,video_features_basic_1k::tag=52,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,54,search_candidate
kuairand1k,video_features_basic_1k::tag=53,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,55,search_candidate
kuairand1k,video_features_basic_1k::tag=54,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,56,search_candidate
kuairand1k,video_features_basic_1k::tag=56,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,57,search_candidate
kuairand1k,video_features_basic_1k::tag=6,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,58,search_candidate
kuairand1k,video_features_basic_1k::tag=60,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,59,search_candidate
kuairand1k,video_features_basic_1k::tag=62,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,60,search_candidate
kuairand1k,video_features_basic_1k::tag=64,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,61,search_candidate
kuairand1k,video_features_basic_1k::tag=65,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,62,search_candidate
kuairand1k,video_features_basic_1k::tag=67,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,63,search_candidate
kuairand1k,video_features_basic_1k::tag=68,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,64,search_candidate
kuairand1k,video_features_basic_1k::tag=7,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,65,search_candidate
kuairand1k,video_features_basic_1k::tag=8,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,66,search_candidate
kuairand1k,video_features_basic_1k::tag=9,data/video_features_basic_1k.csv,tag,item,safe_pre_treatment,item_category,67,search_candidate
